,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,TotalMntSpent,TotalNumPurchases,Total_Acc_Cmp,Partner,Children,Education_Level,Years_Customer,Days_Customer
33,49389,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,63,65,6,0,0,2,Postgraduate,1,464
34,67353,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,44,913,28,0,1,1,Postgraduate,1,340
35,23718,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,38,81,9,0,1,1,Undergraduate,1,665
36,42429,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,41,67,7,0,0,1,Graduate,0,34
37,48948,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,71,902,24,2,0,0,Postgraduate,1,703
38,80011,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,34,1395,21,0,1,1,Graduate,1,586
39,20559,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,29,53,7,0,1,1,Postgraduate,1,368
40,21994,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,57,22,4,0,1,1,Graduate,2,712
41,7500,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,39,31,8,0,1,1,Postgraduate,1,664
42,79941,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,38,984,16,0,0,0,Graduate,0,161
43,7500,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,18,122,10,1,1,0,Undergraduate,2,816
44,41728,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,46,55,5,0,1,1,Graduate,1,561
45,72550,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,60,1319,28,0,1,2,Postgraduate,2,847
46,65486,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,57,507,17,0,0,1,Graduate,0,1
47,79143,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,50,1693,29,0,1,0,Postgraduate,2,758
48,35790,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,37,72,7,0,0,1,Graduate,1,673
49,82582,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,37,1617,21,3,0,0,Graduate,0,153
50,66373,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,36,606,23,0,1,2,Graduate,1,365
51,82384,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,59,1957,27,2,1,0,Postgraduate,2,747
52,70287,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,48,1093,21,1,0,0,Graduate,1,670
53,27938,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,26,29,6,0,0,1,Graduate,0,222
54,55954,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,46,518,19,0,1,1,Postgraduate,0,278
55,75777,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,32,1438,21,3,0,0,Postgraduate,1,608
56,66653,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,39,612,22,0,1,2,Graduate,2,880
57,61823,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,62,884,24,0,0,1,Graduate,1,656
58,67680,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,63,606,19,0,0,1,Postgraduate,1,395
59,70666,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,66,1076,16,0,1,0,Graduate,1,542
60,25721,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,43,34,5,1,1,1,Graduate,1,564
61,32474,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,47,11,4,0,1,2,Graduate,0,31
62,88194,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,35,1274,32,3,0,1,Undergraduate,0,262
63,69096,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,56,653,18,0,1,1,Graduate,1,435
64,74854,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,44,1562,19,0,1,3,Graduate,1,489
65,66991,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,60,1253,21,0,1,0,Postgraduate,2,757
66,65031,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,55,863,30,0,1,1,Graduate,1,629
67,60631,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,39,661,24,1,1,2,Postgraduate,1,581
68,28332,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,62,65,8,0,1,0,Graduate,0,220
69,40246,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,37,13,4,0,0,1,Graduate,2,717
70,75251,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,42,1890,19,1,1,0,Postgraduate,2,831
71,75825,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,38,2209,22,2,0,0,Graduate,2,726
72,26326,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,38,18,4,0,1,0,Undergraduate,1,606
73,56046,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,49,692,21,2,1,0,Graduate,1,673
74,29760,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,29,165,12,0,0,1,Graduate,2,829
75,26304,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,45,16,4,0,1,1,Graduate,1,531
76,23559,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,41,79,9,0,1,1,Undergraduate,1,639
77,38620,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,51,318,11,0,1,0,Postgraduate,1,396
78,81361,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,27,778,27,0,0,0,Graduate,0,284
79,29440,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,54,56,7,0,1,2,Graduate,1,393
80,36138,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,44,151,13,1,1,2,Postgraduate,1,508
81,50388,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,57,372,17,3,0,1,Graduate,0,192
82,79593,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,41,1366,19,1,1,0,Graduate,0,1
83,54178,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,47,194,10,0,1,1,Graduate,0,319
84,42394,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,42,32,5,0,0,1,Postgraduate,0,258
85,23626,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,44,43,10,0,1,1,Postgraduate,0,196
86,30096,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,31,45,6,0,1,1,Graduate,0,198
87,47916,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,54,606,22,1,0,1,Graduate,2,744
88,51813,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,42,63,7,0,0,2,Graduate,1,397
89,78497,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,63,978,25,1,1,0,Undergraduate,1,693
90,50150,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,31,410,16,0,1,0,Postgraduate,1,534
91,47823,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,54,72,7,0,0,1,Undergraduate,1,501
92,34554,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,55,55,7,0,0,1,Postgraduate,0,251
93,85693,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,35,1169,27,0,1,1,Graduate,1,595
94,65846,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,69,1120,16,0,1,0,Postgraduate,1,568
95,87195,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,55,1097,20,1,1,0,Graduate,0,123
96,24594,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,35,29,5,0,1,1,Undergraduate,1,420
97,49096,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,50,187,13,0,1,2,Graduate,1,438
98,52413,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,45,910,26,0,1,2,Graduate,1,672
99,38557,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,36,145,9,0,0,1,Graduate,2,717
100,89058,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,54,850,14,0,1,0,Postgraduate,2,877
101,77298,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,35,969,24,0,1,1,Graduate,1,663
102,68126,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,23,1820,17,2,0,0,Postgraduate,2,786
103,57288,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,51,608,20,1,1,1,Postgraduate,0,164
104,86037,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,23,730,25,3,0,0,Graduate,1,673
105,43974,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,34,551,21,0,1,1,Postgraduate,2,724
106,50785,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,52,114,8,0,0,2,Graduate,1,423
107,90765,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,44,1724,15,2,1,0,Graduate,0,316
108,36550,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,36,577,20,0,1,1,Undergraduate,1,655
109,30753,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,47,81,7,0,1,2,Undergraduate,1,394
110,21918,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,45,33,7,0,1,1,Graduate,1,387
111,56129,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,61,660,22,0,1,1,Postgraduate,1,534
112,32557,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,47,80,9,1,0,1,Postgraduate,0,285
113,19510,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,29,30,6,0,1,2,Postgraduate,1,606
114,30992,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,38,43,5,0,0,1,Graduate,1,593
115,101970,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,31,1135,27,4,0,0,Graduate,1,368
116,71488,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,49,559,16,0,1,0,Undergraduate,1,656
117,79607,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,30,1923,16,1,0,0,Graduate,1,594
118,54348,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,61,90,8,0,1,2,Postgraduate,0,122
119,77376,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,58,661,23,0,1,2,Postgraduate,0,62
120,62998,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,62,463,19,0,1,1,Graduate,1,432
121,61331,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,56,632,23,0,0,2,Postgraduate,1,429
122,73448,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,45,725,19,0,1,0,Graduate,0,65
123,41551,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,50,279,16,0,1,2,Postgraduate,1,479
124,62981,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,47,1482,23,1,1,0,Postgraduate,1,629
125,9548,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,38,29,6,0,0,1,Undergraduate,2,850
126,33762,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,55,106,9,0,1,3,Postgraduate,1,517
127,35860,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,41,49,6,2,0,2,Postgraduate,0,201
128,36921,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,49,38,7,0,0,2,Postgraduate,1,496
129,92859,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,22,2077,22,0,0,0,Postgraduate,2,778
130,65104,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,38,1053,17,1,1,1,Postgraduate,1,387
131,86111,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,52,1385,23,0,1,0,Graduate,1,596
132,68352,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,40,871,25,0,0,1,Postgraduate,1,465
133,41883,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,26,312,12,0,1,1,Graduate,1,627
134,59809,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,38,877,15,0,1,2,Graduate,2,779
135,23957,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,39,68,6,1,1,1,Graduate,2,769
136,38547,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,33,22,4,0,1,1,Graduate,1,465
137,35688,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,41,211,16,0,1,3,Undergraduate,2,836
138,49605,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,48,127,8,0,1,0,Postgraduate,0,168
139,59354,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,61,459,16,0,1,2,Postgraduate,0,226
140,65747,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,45,460,19,1,1,1,Graduate,0,156
141,46344,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,42,429,17,0,1,1,Undergraduate,2,722
142,34176,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,26,89,11,0,0,1,Graduate,0,1
143,61010,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,62,1021,26,0,1,1,Postgraduate,2,817
144,69372,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,65,1381,21,3,1,0,Graduate,1,655
145,49967,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,56,306,15,0,0,1,Graduate,1,486
146,60199,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,36,18,4,0,0,3,Graduate,1,362
147,55375,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,37,162,9,0,1,1,Graduate,1,415
148,80317,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,59,1231,18,0,0,0,Graduate,1,473
149,30523,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,56,13,4,0,0,3,Postgraduate,1,698
150,70356,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,69,1706,27,0,1,0,Postgraduate,2,939
151,23228,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,30,121,11,0,1,1,Graduate,0,219
152,74165,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,39,1293,20,0,0,0,Postgraduate,1,700
153,43482,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,48,88,9,0,1,3,Graduate,1,388
154,62551,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,61,421,18,1,0,0,Graduate,1,383
155,52332,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,55,259,12,1,0,0,Graduate,1,465
156,66951,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,26,1117,15,0,0,0,Graduate,1,663
157,26091,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,57,89,9,0,1,2,Graduate,0,284
158,33456,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,49,36,6,0,1,2,Graduate,0,229
159,28718,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,32,57,7,0,1,1,Graduate,1,511
160,50447,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,44,148,8,0,1,2,Graduate,0,229
161,53537,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,55,93,8,0,1,2,Postgraduate,0,310
162,52074,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,47,119,7,1,0,1,Graduate,0,246
163,80427,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,39,1835,28,0,1,1,Postgraduate,2,727
164,83837,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,66,1318,25,3,1,0,Postgraduate,2,720
165,38853,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,44,45,7,0,1,2,Postgraduate,0,197
166,38285,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,55,10,4,0,1,3,Graduate,0,165
167,78497,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,63,978,25,1,1,0,Undergraduate,1,693
168,51650,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,38,191,10,0,1,1,Postgraduate,0,31
169,16248,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,26,57,9,0,1,1,Undergraduate,0,62
170,66835,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,68,1033,24,0,1,0,Postgraduate,1,434
171,30477,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,30,66,6,0,1,1,Postgraduate,0,318
172,28249,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,53,43,6,0,1,0,Undergraduate,0,174
173,25271,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,31,50,5,0,1,1,Graduate,2,938
174,32303,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,44,39,7,0,0,1,Postgraduate,0,125
175,61286,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,48,608,18,0,1,1,Graduate,1,666
176,74068,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,38,1581,24,0,1,0,Graduate,1,627
177,45759,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,50,68,7,0,1,2,Postgraduate,1,651
178,24882,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,36,80,5,1,1,1,Undergraduate,2,818
179,66973,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,25,1282,28,0,1,0,Postgraduate,1,568
180,38872,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,26,91,8,0,1,1,Graduate,1,555
181,51148,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,41,315,16,0,1,2,Graduate,1,656
182,31353,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,37,31,6,0,1,2,Graduate,1,342
183,69661,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,34,834,23,0,1,0,Postgraduate,0,207
184,80067,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,60,1600,17,1,1,0,Graduate,1,443
185,86718,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,60,1270,17,0,1,0,Graduate,1,688
186,46854,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,41,263,15,2,0,2,Postgraduate,0,250
187,69142,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,62,535,19,1,0,1,Graduate,0,160
188,75922,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,46,1295,18,0,0,0,Graduate,1,450
189,63693,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,36,1150,29,0,0,1,Graduate,1,418
190,102160,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,37,1240,26,4,1,0,Postgraduate,2,1029
191,40637,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0,49,38,6,0,0,2,Postgraduate,1,507
192,18890,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1,30,35,4,2,0,0,Postgraduate,2,786
193,29604,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,0,26,53,5,1,1,1,Graduate,1,481
194,48721,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0,51,293,17,0,0,2,Postgraduate,1,572
195,44794,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,48,65,6,0,1,1,Graduate,0,122
196,64497,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1,60,1804,29,2,0,1,Graduate,2,788
197,46097,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0,58,241,15,0,1,1,Graduate,1,615
198,77972,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,0,60,1101,20,0,1,0,Graduate,0,263
199,44377,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,0,46,264,19,0,1,2,Postgraduate,2,940
200,46014,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,0,40,541,26,0,1,2,Postgraduate,1,684
201,70951,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0,29,1198,17,0,1,0,Graduate,1,610
202,41443,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,0,37,482,20,0,1,1,Graduate,0,336
203,52195,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,36,17,4,0,0,3,Undergraduate,0,1
204,83790,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,0,66,1615,25,2,1,0,Postgraduate,1,386
205,44551,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,0,60,285,12,0,0,1,Postgraduate,1,462
206,69508,48,824,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0,0,0,34,1135,28,0,1,1,Graduate,2,752
